pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Dónde nació Messi?,Rosario,Buenos Aires,Rio Negro,San Juan,1
¿Cuál es el planeta más cercano al Sol?,Venus,Mercurio,Tierra,Marte,2
¿Quién escribió 'Cien años de soledad'?,Mario Vargas Llosa,Gabriel García Márquez,Pablo Neruda,Julio Cortázar,2
¿En qué continente se encuentra Egipto?,Asia,Europa,África,Oceanía,3
¿Cuál es la capital de Japón?,Kyoto,Osaka,Tokio,Hiroshima,3
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Miguel Ángel,Picasso,Dalí,1
¿Qué gas respiramos para vivir?,Hidrógeno,Nitrógeno,Oxígeno,Dióxido de carbono,3
¿Qué instrumento mide los terremotos?,Barómetro,Termómetro,Sismógrafo,Altímetro,3
¿Cuál es el río más largo del mundo?,Amazonas,Nilo,Yangtsé,Misisipi,1
¿Cuántos huesos tiene el cuerpo humano adulto?,206,201,210,199,1
¿En qué año llegó el hombre a la Luna?,1969,1972,1959,1975,1
¿Cuál es el idioma más hablado del mundo?,Español,Inglés,Hindi,Chino mandarín,4
¿Quién descubrió América?,Fernando de Magallanes,Cristóbal Colón,Hernán Cortés,Américo Vespucio,2
¿Qué animal pone huevos?,Ballena,Perro,Gallina,Delfín,3
¿Qué día se celebra el Día de la Independencia de México?,5 de mayo,16 de septiembre,20 de noviembre,1 de octubre,2
¿Cuál es el océano más grande?,Atlántico,Índico,Ártico,Pacífico,4
¿Cuál es la moneda de Japón?,Yen,Won,Yuan,Dólar,1
¿Cuántos planetas hay en el sistema solar?,7,8,9,10,2
¿Qué país tiene forma de bota?,España,Grecia,Italia,Turquía,3
¿Cuál es el metal más ligero?,Hierro,Aluminio,Litio,Cobre,3
¿Qué significa 'WWW' en una dirección web?,Web World Wide,Wide World Web,World Wide Web,World Web Wide,3
¿Cuál es el animal más rápido del mundo?,Guepardo,Halcón peregrino,Leopardo,Antílope,2
¿Qué vitamina se obtiene del sol?,Vitamina C,Vitamina B,Vitamina D,Vitamina A,3
¿Cuál es el país con más habitantes?,India,China,Estados Unidos,Brasil,1
¿Cuántos colores tiene el arcoíris?,6,7,8,5,2
¿En qué país se encuentran las pirámides de Giza?,Sudán,Irak,Egipto,Libia,3
¿Quién fue el primer presidente de Estados Unidos?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,2
¿Qué país ganó el Mundial de Fútbol 2014?,Argentina,Brasil,Alemania,Francia,3
¿Qué parte del cuerpo humano produce insulina?,Hígado,Riñón,Páncreas,Corazón,3
¿Cuál es el número pi (aproximado)?,2.14,3.14,3.41,4.13,2
¿Cuál es el órgano más grande del cuerpo humano?,Cerebro,Hígado,Piel,Pulmón,3
¿Quién escribió 'Don Quijote de la Mancha'?,Miguel de Cervantes,Lope de Vega,Gabriel García Márquez,Borges,1
¿Cuántos continentes hay en el mundo?,5,6,7,8,3
¿De qué país es originario el sushi?,China,Corea del Sur,Tailandia,Japón,4
¿Qué instrumento tiene teclas blancas y negras?,Violín,Guitarra,Piano,Trombón,3
¿En qué país se celebraron los Juegos Olímpicos de 2016?,Japón,Brasil,China,Grecia,2
¿Quién fue Albert Einstein?,Matemático,Médico,Físico,Inventor,3
¿En qué año comenzó la Segunda Guerra Mundial?,1935,1939,1941,1945,2
¿Qué líquido circula por nuestras venas?,Agua,Plasma,Sangre,Linfa,3
¿Cuál es el símbolo químico del oro?,Ag,Au,Fe,Go,2
¿Quién pintó 'La última cena'?,Picasso,Leonardo da Vinci,Rafael,Van Gogh,2
¿Cuántos lados tiene un hexágono?,5,6,7,8,2
¿Qué planeta es conocido como el planeta rojo?,Júpiter,Venus,Marte,Saturno,3
¿En qué país se encuentra la Torre Eiffel?,Italia,España,Francia,Alemania,3
¿Qué animal es conocido como el 'rey de la selva'?,Tigre,León,Guepardo,Elefante,2
¿Dónde se encuentra la Gran Muralla?,Japón,India,China,Corea del Sur,3
¿Qué país inventó la pizza?,Francia,Italia,Grecia,México,2
¿Qué deporte se practica en Wimbledon?,Golf,Tenis,Fútbol,Béisbol,2
¿Qué elemento químico tiene el símbolo H?,Helio,Hidrógeno,Hierro,Hexano,2
¿Cuál es la lengua oficial de Brasil?,Español,Portugués,Francés,Inglés,2
¿En qué año cayó el Imperio Romano de Occidente?,395,410,476,509,3
¿Cuál es el número atómico del oxígeno?,6,7,8,9,3
¿Quién formuló las leyes del movimiento?,Einstein,Newton,Galileo,Kepler,2
¿Qué país tiene más premios Nobel de Literatura?,Francia,Estados Unidos,Reino Unido,Alemania,1
¿Quién fue el autor de “La Odisea”?,Platón,Homero,Sócrates,Virgilio,2
¿Qué filósofo escribió “El contrato social”?,Rousseau,Hobbes,Locke,Voltaire,1
¿Cuántos músculos tiene el cuerpo humano (aprox.)?,450,500,600,650,3
¿Quién desarrolló el modelo heliocéntrico?,Aristóteles,Newton,Galileo,Copérnico,4
¿Qué país tiene el PIB más alto del mundo?,China,Alemania,Estados Unidos,India,3
¿En qué año estalló la Primera Guerra Mundial?,1912,1914,1916,1918,2
¿Qué ciudad es conocida como “la cuna de la democracia”?,Roma,Atenas,Estambul,París,2
¿Cuál es el hueso más largo del cuerpo humano?,Fémur,Tibia,Húmero,Peroné,1
¿Quién escribió *Crimen y castigo*?,Dostoievski,Tolstói,Chejov,Gógol,1
¿Qué país fue el primero en legalizar el matrimonio igualitario?,Países Bajos,Canadá,España,Suecia,1
¿Qué tipo de energía produce una central hidroeléctrica?,Solar,Térmica,Nuclear,Cinética,4
¿En qué siglo vivió Leonardo da Vinci?,XIII,XIV,XV,XVI,4
¿Cuál es la capital de Nueva Zelanda?,Auckland,Christchurch,Wellington,Hamilton,3
¿Quién escribió *El Príncipe*?,Maquiavelo,Hobbes,Aristóteles,Descartes,1
¿En qué país se encuentra el desierto de Atacama?,Chile,Argentina,Perú,Bolivia,1
¿Cuál es la montaña más alta del mundo?,K2,Everest,Annapurna,Mont Blanc,2
¿Qué matemático formuló la conjetura de Fermat?,Descartes,Gauss,Fermat,Newton,3
¿Quién escribió *Ser y tiempo*?,Nietzsche,Sartre,Heidegger,Kant,3
¿Cuál es el idioma con más formas verbales?,Francés,Finlandés,Árabe,Inuit,3
¿En qué país nació Alan Turing?,Estados Unidos,Reino Unido,Canadá,Australia,2
¿Cuál es la capital de Mongolia?,Taskent,Ulán Bator,Astana,Bishkek,2
¿Qué metal es líquido a temperatura ambiente?,Mercurio,Plomo,Bismuto,Galio,1
¿Qué científico ganó un Nobel por el efecto fotoeléctrico?,Bohr,Einstein,Planck,Hawking,2
¿Qué filósofo dijo “el hombre es la medida de todas las cosas”?,Aristóteles,Heráclito,Protágoras,Platón,3
¿Qué gen está asociado con el síndrome de Down?,XXY,Trisomía 21,XO,XYX,2
¿En qué siglo fue escrita *La Divina Comedia*?,XI,XII,XIII,XIV,4
¿Cuál es el teorema central de la biología molecular?,Transcripción,Traducción,Dogma central,Mutación,3
¿Quién propuso la teoría del inconsciente colectivo?,Freud,Jung,Adler,Fromm,2
¿En qué año cayó Constantinopla?,1453,1492,1415,1478,1
¿Qué científico propuso la mecánica cuántica?,Planck,Bohr,Heisenberg,Einstein,1
¿Cuál es el número de Euler (e) aproximado?,2.71,3.14,1.61,1.41,1
¿Qué país tiene el récord de más lenguas habladas?,China,India,Papúa Nueva Guinea,Nigeria,3
¿Quién escribió *El ser y la nada*?,Heidegger,Sartre,Camus,Simone de Beauvoir,2
¿Qué órgano produce la hormona melatonina?,Páncreas,Hipófisis,Epífisis,Hígado,3
¿En qué isla fue desterrado Napoleón por última vez?,Córcega,Elba,Malta,Santa Elena,4
¿Qué elemento tiene el símbolo W?,Wolframio,Widmanstatten,Wurtzita,Tungsteno,1
¿En qué país se encuentra el lago Baikal?,Mongolia,Rusia,China,Kazajistán,2
¿Quién descubrió los rayos X?,Tesla,Röntgen,Fermi,Curie,2
¿Cuál fue la primera civilización en usar el cero?,Romanos,Babilonios,Mayas,Egipcios,3
¿Quién escribió *Los hermanos Karamazov*?,Tolstói,Dostoievski,Chejov,Turgéniev,2
¿Qué famoso físico dijo: “Dios no juega a los dados”?,Einstein,Hawking,Heisenberg,Bohr,1
¿Cuál es la constante de Planck?,6.626x10^-34,3.14,9.8,1.61,1
¿Quién pintó el techo de la Capilla Sixtina?,Rafael,Donatello,Leonardo,Miguel Ángel,4
¿Dónde se encuentra la tumba de Tutankamón?,Abu Simbel,Giza,Luxor,El Cairo,3
¿Qué matemático fue asesinado por razones políticas?,Arquímedes,Hypatia,Galois,Euclides,3
¿Qué lengua indoeuropea se considera la más antigua aún hablada?,Griego antiguo,Latín,Sánscrito,Persa,3
¿Quién dirigió *La llegada* (Arrival)?,Christopher Nolan,Denis Villeneuve,David Fincher,Ridley Scott,2
¿Cuál fue la primera película ganadora del Oscar a Mejor Película en Netflix?,El poder del perro,Roma,Historia de un matrimonio,Nada nuevo en el frente,4
¿Qué director ganó el Oscar dos años seguidos por *Birdman* y *The Revenant*?,Alejandro González Iñárritu,Alfonso Cuarón,Guillermo del Toro,Sam Mendes,1
¿Quién compuso la banda sonora de *Interstellar*?,Hans Zimmer,John Williams,Danny Elfman,Thomas Newman,1
¿En qué año se estrenó *Parasite*?,2018,2019,2020,2017,2
¿Cuál fue el presupuesto aproximado de *Avengers: Endgame*?,250 millones,356 millones,200 millones,180 millones,2
¿Qué película ganó el León de Oro en Venecia en 2019?,Joker,The Favourite,Nomadland,The Power of the Dog,1
¿Qué actor interpreta a Oppenheimer en la película de 2023?,Cillian Murphy,Matthew McConaughey,Michael Fassbender,Christian Bale,1
¿Qué película coreana ganó la Palma de Oro antes de *Parasite*?,Oldboy,The Handmaiden,Burning,Ninguna,4
¿Cuál es la primera película en ganar el Oscar el Globo de Oro y el BAFTA en animación?,Shrek,Toy Story 3,Spider-Man: Into the Spider-Verse,Up,3
¿Qué película popular está inspirada en *Los siete samuráis*?,Los siete magníficos,Star Wars,Gladiador,Matrix,1
¿Qué actriz ganó un Oscar por *Everything Everywhere All at Once*?,Angela Bassett,Jamie Lee Curtis,Michelle Yeoh,Stephanie Hsu,3
¿Quién dirigió *La forma del agua*?,Del Toro,Iñárritu,Cuaron,Reitman,1
¿Cuál fue la primera película del MCU?,Iron Man,Hulk,Capitán América,Thor,1
¿Qué película de Nolan gira en torno a espías y entropía?,Inception,Tenet,The Prestige,Dunkerque,2
¿Quién dirigió *Nomadland*?,Chloé Zhao,Greta Gerwig,Sofia Coppola,Lulu Wang,1
¿Qué película de A24 trata sobre una roca que habla?,The Green Knight,Everything Everywhere All at Once,The Lighthouse,The Whale,2
¿Qué actor interpretó a Elvis en la película de Baz Luhrmann?,Austin Butler,Harry Styles,Taron Egerton,Tom Holland,1
¿Quién dirigió *El faro* (The Lighthouse)?,Robert Eggers,Ari Aster,Jordan Peele,Alex Garland,1
¿Qué película de 2022 es una sátira del mundo de la alta cocina?,Menu,Triangle of Sadness,Boiling Point,The Bear,2
¿Quién es el autor de *Watchmen*?,Frank Miller,Alan Moore,Grant Morrison,Neil Gaiman,2
¿Qué manga fue el primero en vender más de 500 millones de copias?,Dragon Ball,Naruto,One Piece,Detective Conan,3
¿Quién escribió la novela gráfica *Sandman*?,Alan Moore,Frank Miller,Neil Gaiman,Brian K. Vaughan,3
¿En qué revista se publicó originalmente *Attack on Titan*?,Jump+,Bessatsu Shonen Magazine,Shonen Jump,Ultra Jump,2
¿Qué personaje es también conocido como "el demonio de Kimetsu no Yaiba"?,Tengen,Zenitsu,Muzan,Tanjiro,3
¿Qué cómic ganó el Premio Pulitzer?,V de Vendetta,Maus,Persepolis,From Hell,2
¿Qué mangaka es conocido por obras como *Goodnight Punpun* y *Solanin*?,Naoki Urasawa,Inio Asano,Tite Kubo,Junji Ito,2
¿Qué cómic inspiró directamente *The Boys*?,Watchmen,Authority,The Boys (original),Kick-Ass,3
¿Quién escribió *Y: The Last Man*?,Alan Moore,Neil Gaiman,Brian K. Vaughan,Grant Morrison,3
¿Qué autora escribió *Persepolis*?,Marjane Satrapi,Raina Telgemeier,Julie Maroh,Noelle Stevenson,1
¿Qué obra de Junji Ito gira en torno a una ciudad espiralada?,Uzumaki,Tomie,Gyo,Remina,1
¿Qué serie de cómics presenta una mezcla de fantasía y política en el Reino de Dream?,Lucifer,Sandman,American Gods,Swamp Thing,2
¿Qué autor es responsable de *Saga* una de las novelas gráficas más premiadas de la última década?,Tom King,Brian K. Vaughan,Jeff Lemire,Chip Zdarsky,2
¿Qué manga fue creado por Naoki Urasawa?,Death Note,Monster,Tokyo Ghoul,Chainsaw Man,2
¿Quién es el autor de *V for Vendetta*?,Neil Gaiman,Frank Miller,Alan Moore,Grant Morrison,3
¿Qué personaje sufre un bucle de muerte diaria en *Erased*?,Satoru Fujinuma,Kousei Arima,Shoya Ishida,Ken Kaneki,1
¿Cuál es el manga más vendido de 2023?,My Hero Academia,Jujutsu Kaisen,Blue Lock,One Piece,2
¿Qué cómic narra la vida de un joven gay en Inglaterra y ganó adaptación de Netflix?,Heartstopper,Blue Is the Warmest Color,Fun Home,Laura Dean Keeps Breaking Up With Me,1
¿Qué manga se centra en una guerra entre titanes y humanos dentro de murallas?,Vinland Saga,Claymore,Attack on Titan,Berserk,3
¿Qué manga de horror se centra en una epidemia de peces con patas metálicas?,Gyo,Tomie,Uzumaki,Black Paradox,1
¿En qué año se lanzó el primer videojuego de *The Legend of Zelda*?,1983,1986,1989,1991,2
¿Qué empresa desarrolló *The Witcher 3*?,Bethesda,CD Projekt RED,Ubisoft,Bioware,2
¿Quién es el villano principal en *Far Cry 3*?,Pagan Min,Vaas Montenegro,Jason Brody,Hoyt Volker,2
¿Qué juego popularizó el género battle royale?,PUBG,Call of Duty,Fornite,H1Z1,1
¿Qué título ganó el premio *Game of the Year* en The Game Awards 2022?,Elden Ring,GOW: Ragnarok,Stray,Horizon: Forbidden West,1
¿Cuál es el nombre del protagonista de *Red Dead Redemption 2*?,John Marston,Arthur Morgan,Micah Bell,Dutch van der Linde,2
¿Qué compañía creó *Half-Life*?,Valve,ID Software,Ubisoft,EA,1
¿En qué juego aparece el personaje “Master Chief”?,Gears of War,Call of Duty,Halo,Destiny,3
¿Qué es *GLaDOS* en *Portal*?,Un robot asesino,Una IA de seguridad,Una científica,Una computadora rota,2
¿Cuál es la consola más vendida de la historia?,Nintendo DS,PS2,PS4,Switch,2
¿Quién es el creador de *Metal Gear Solid*?,Hironobu Sakaguchi,Hideo Kojima,Shigeru Miyamoto,Hideki Kamiya,2
¿Qué saga contiene el lugar ficticio *Raccoon City*?,Silent Hill,The Evil Within,Resident Evil,Outlast,3
¿Cuál fue el primer juego en presentar un mundo abierto 3D?,The Legend of Zelda: Ocarina of Time,Grand Theft Auto III,Morrowind,Ultima Online,2
¿En qué año fue lanzado el primer *Call of Duty*?,2001,2002,2003,2004,3
¿Qué estudio desarrolló *Hollow Knight*?,Team Cherry,Supergiant Games,Motion Twin,Devolver Digital,1
¿Qué juego utiliza el motor RE Engine?,Monster Hunter: World,Resident Evil 7,Street Fighter V,Devil May Cry 4,2
¿Cuál fue la consola de Sega que compitió con PS1?,Genesis,Saturn,Dreamcast,32X,2
¿Qué protagonista tiene el nombre Geralt de Rivia?,The Witcher,Skyrim,Dragon Age,Dark Souls,1
¿Cuál de estos juegos es una novela visual?,Persona 5,AI: The Somnium Files,Danganronpa,Zero Escape,3
¿Qué empresa compró Mojang?,Amazon,Microsoft,Google,Meta,2
¿Qué juego popularizó la frase “The cake is a lie”?,Portal,Half-Life,Bioshock,Undertale,1
¿Qué videojuego tiene como lema “War. War never changes.”?,Call of Duty,Fallout,Wolfenstein,Spec Ops: The Line,2
¿Cuál es el principal objetivo en *Stardew Valley*?,Derrotar a un jefe,Heredar una granja,Rescatar a alguien,Explorar una ciudad,2
¿Qué director es conocido por *Death Stranding*?,Kojima,Miyazaki,Itagaki,Nomura,1
¿Qué color representa al personaje de *Among Us* más popular?,Rojo,Azul,Negro,Verde,1
¿Qué juego indie se volvió viral en 2020 por su mecánica cooperativa?,Cuphead,Among Us,Overcooked,Phasmophobia,2
¿En qué país se desarrolla *Ghost of Tsushima*?,China,Corea,Filipinas,Japón,4
¿Qué juego popular incluye una espada llamada “Espada Maestra”?,Skyrim,Zelda,Dark Souls,Elden Ring,2
¿Quién es Kratos en *God of War*?,Dios de la guerra,Titán caído,Asesino de dioses,Héroe espartano,4
¿Qué es *The Stanley Parable*?,FPS,Plataforma,Narrativa interactiva,Roguelike,3
¿Qué juego de estrategia fue desarrollado por Blizzard?,Age of Empires,StarCraft,Warhammer,Command & Conquer,2
¿Qué es *Dota 2*?,Shooter,Moba,RPG,MMO,2
¿Qué juego fue pionero en el género survival horror en PC?,Doom,Resident Evil,Alone in the Dark,System Shock,3
¿Qué MMORPG popular fue lanzado por Blizzard en 2004?,Runescape,Everquest,World of Warcraft,Lineage,3
¿Qué saga fue desarrollada por Larian Studios?,Dragon Age,Divinity,The Elder Scrolls,Baldur's Gate,2
¿Qué juego multijugador se basa en roles de inocentes y traidores?,Valorant,Project Winter,Among Us,Deceit,3
¿Qué juego indie de gestión agrícola es famoso en PC?,Terraria,RimWorld,Stardew Valley,Farmville,3
¿Cuál es el shooter táctico de Riot Games?,Overwatch,Apex Legends,CS:GO,Valorant,4
¿Qué título es conocido por sus físicas absurdas y simulaciones graciosas?,Human Fall Flat,Goat Simulator,Totally Accurate Battle Simulator,Garry’s Mod,2
¿Qué simulador realista usa mods para construir cohetes?,SimpleRockets,KSP,Universe Sandbox,Spaceflight Simulator,2
¿Qué juego móvil fue el más descargado del mundo en 2020?,Among Us,Subway Surfers,COD Mobile,Free Fire,1
¿Qué desarrolladora creó *Clash of Clans*?,Riot Games,King,SUPERCELL,Niantic,3
¿Qué videojuego de móvil se basa en recolectar monstruos con realidad aumentada?,Ingress,Pokemon GO,Monster Legends,AR Quest,2
¿Qué juego de móvil es una versión competitiva de ajedrez?,Auto Chess,Chess Rush,Clash Royale,Teamfight Tactics,1
¿Qué juego viral requiere memorizar patrones de baile?,Just Dance,TikTok Moves,Dance Monkey,Suspects,1
¿Qué juego es una parodia absurda de los RPG clásicos?,BitLife,Final Fantasy Pocket,Inflation RPG,Idle Heroes,3
¿Cuál es el objetivo de *2048*?,Hacer fila,Hundir bloques,Llegar a la casilla 2048,Evitar el tiempo,3
¿Qué juego combina música y parkour visual?,Cytus,Geometry Dash,Beatstar,Piano Tiles,2
¿Qué juego de puzzles consiste en unir agua fuego y tierra?,Alchemy,Flow Free,Brain It On!,Little Alchemy,4
¿Qué juego de supervivencia en islas es muy popular en móviles?,Minecraft PE,Raft Survival,Ocean Is Home,Last Day on Earth,2
¿Cuál es la capital de Suecia?,Oslo,Helsinki,Estocolmo,Copenhague,3
¿Qué gas es responsable del efecto invernadero?,Oxígeno,Dióxido de carbono,Nitrógeno,Metano,2
¿Quién escribió "Hamlet"?,Geoffrey Chaucer,William Shakespeare,Charles Dickens,Jane Austen,2
¿Cuál es el metal más denso del mundo?,Plomo,Plata,Cobre,Osmio,4
¿En qué año cayó el muro de Berlín?,1987,1988,1989,1990,3
¿Qué país tiene la mayor superficie forestal?,Brasil,Canadá,Rusia,EE.UU.,3
¿Cuál es la capital de Nueva York (estado)?,New York City,Buffalo,Rochester,Albany,4
¿Cuál es la fórmula química del agua?,H₂O,CO₂,O₂,NaCl,1
¿Quién pintó "La noche estrellada"?,Vincent van Gogh,Pablo Picasso,Salvador Dalí,Claude Monet,1
¿Qué rio pasa por Londres?,Danubio,Tíber,Támesis,Rin,3
¿Qué instrumento mide la presión atmosférica?,Barómetro,Termómetro,Higrómetro,Anemómetro,1
¿Cuál es la moneda oficial de México?,Peso Mexicano,Real,Colón,Guaraní,1
¿Quién es considerado el padre de la medicina moderna?,Hipócrates,Avicena,Galen,Pasteur,1
¿Qué país utiliza el shilling como moneda?,Japón,Australia,Kenya,Canadá,3
¿Cuál es el idioma oficial de Egipto?,Árabe,Swahili,Amárico,Turco,1
¿Cuál es el punto más alto de América?,Aconcagua,Everest,Denali,Matterhorn,1
¿Quién descubrió la penicilina?,Louis Pasteur,Alexander Fleming,Marie Curie,Gregor Mendel,2
¿Qué tipo de energía aprovechan los paneles solares?,Térmica,Química,Eléctrica,Radiante,4
¿Cuál es la capital de Nueva Zelanda?,Auckland,Wellington,Christchurch,Hamilton,2
¿Qué océano baña la costa oeste de África?,Atlántico,Índico,Pacífico,Ártico,1
¿En qué país están las montañas Atlas?,Marruecos,Túnez,Argelia,Egipto,1
¿Qué vitamina ayuda a la coagulación de la sangre?,A,B,C,D,1
¿Quién fundó la filosofía estoica?,Zenón de Citio,Aristóteles,Platón,Sócrates,1
¿Cuál es la capital de Finlandia?,Estocolmo,Oslo,Helsinki,Riga,3
¿Qué animal es símbolo de Australia?,Toro,Órix,Canguro,Venado,3
¿Cuál es el planeta con anillos más visibles?,Júpiter,Saturno,Urano,Neptuno,2
¿Quién escribió "El principito"?,Victor Hugo,Antoine de Saint-Exupéry,Albert Camus,Jean-Paul Sartre,2
¿Qué ciudad está construida sobre 100 islas?,Viena,Venecia,Estambul,Budapest,2
¿Cuál es el metal líquido más común fuera del mercurio?,Sodio,Potasio,Galio,Cesio,3
¿Qué deporte usa el término "birdie"?,Golf,Tenis,Baloncesto,Fútbol,1
¿Qué país ganó la Copa América 2019?,Brasil,Bolivia,Perú,Chile,4
¿Cuál es el animal más grande que ha existido?,Ballena azul,Elefante,Argentinosaurio,Hipopótamo,1
¿Qué unidad mide la intensidad de corriente eléctrica?,Voltio,Faro,Amperio,Ohmio,3
¿Cuál es la capital de Sudáfrica?,Johannesburgo,Ciudad del Cabo,Durban,Pretoria,4
¿Qué gas noble se usa en iluminación fluorescente?,Neón,Argón,Krypton,Xenón,1
¿Qué científico formuló la teoría de la evolución?,Gregor Mendel,Charles Darwin,Isaac Newton,James Watson,2
¿Cuál es la capital de Ucrania?,Moscú,Minsk,Kiev,Warsaw,3
¿Qué deporte se juega en Roland Garros?,Tenis,Golf,Fútbol,Béisbol,1
¿Qué instrumento mide la velocidad del viento?,Pluviómetro,Anemómetro,Higrómetro,Barómetro,2
¿Qué país es conocido como 'Tierra del Sol Naciente'?,Corea del Sur,Japón,Tailandia,Filipinas,2
¿Qué mineral es el principal componente del jade?,Sílice,Calcita,Ópalo,Clorita,2
¿Quién escribió el Quijote en verso?,Quevedo,Cervantes,Góngora,Lope,2
¿Qué animal tiene el récord de velocidad en agua?,Tiburón,delfín,marlin,atún,3
¿Qué lago es el más profundo del mundo?,Baikal,Victoria,Titicaca,Superior,1
¿Qué país tiene la mayor población musulmana?,Pakistán,India,Bangladesh,Egipto,2
¿Cuál es la capital de Chile?,Lima,Bogotá,Santiago,Buenos Aires,3
¿Qué continente tiene más países?,África,Europa,Asia,América,1
¿Qué vitamina es esencial para la visión nocturna?,Vitamina A,Vitamina B,Vitamina C,Vitamina D,1
¿Qué ciudad está cerca del Círculo Polar Ártico?,Reikiavik,Oslo,Estocolmo,Helsinki,1
¿Qué país es famoso por el carnaval de Río?,Argentina,Brasil,España,Portugal,2
¿Qué metal se usa para fabricar cables eléctricos?,Plomo,Hierro,Cobre,Aluminio,3
¿Qué árbol produce la nuez de Brasil?,Nogal,Roble,Castaño,Nuez de Brasil,4
¿Qué país es sede de la Organización Mundial de la Salud?,Francia,Suiza,Bélgica,Italia,2
¿Qué país produce más café?,Brasil,Colombia,Viet Nam,Uganda,1
